Time,Retention
-7,1.00014351727558
-6.998999999,1.00152597708815
-6.998,1.0029238087439
-6.996999999,1.00433720759061
-6.996,1.00576637194936
-6.995,1.00721150316815
-6.993999999,1.00867280567648
-6.993,1.01015048704118
-6.992,1.01164475802338
-6.990999999,1.01315583263671
-6.99,1.01468392820667
-6.988999999,1.01622926543135
-6.988,1.01779206844336
-6.987,1.01937256487314
-6.985999999,1.02097098591359
-6.985,1.02258756638613
-6.984,1.02422254480815
-6.982999999,1.02587616346191
-6.982,1.02754866846497
-6.980999999,1.02924030984214
-6.98,1.03095134159902
-6.979,1.03268202179705
-6.977999999,1.03443261263037
-6.977,1.03620338050427
-6.976,1.03799459611534
-6.974999999,1.03980653453352
-6.974,1.04163947528588
-6.972999999,1.04349370244227
-6.972,1.04536950470294
-6.971,1.04726717548811
-6.969999999,1.0491870130295
-6.969,1.05112932046403
-6.968,1.05309440592955
-6.966999999,1.05508258266281
-6.966,1.05709416909963
-6.964999999,1.05912948897739
-6.964,1.06118887143982
-6.963,1.06327265114432
-6.961999999,1.06538116837161
-6.961,1.06751476913804
-6.96,1.06967380531045
-6.958999999,1.07185863472377
-6.958,1.07406962130131
-6.956999999,1.07630713517791
-6.956,1.07857155282599
-6.955,1.08086325718462
-6.953999999,1.08318263779159
-6.953,1.08553009091864
-6.952,1.08790601970998
-6.950999999,1.09031083432408
-6.95,1.09273714428485
-6.948999999,1.09543847015658
-6.948,1.09798684808239
-6.947,1.1001465089849
-6.945999999,1.10271525909473
-6.945,1.10537581336566
-6.943999999,1.10818691267856
-6.942999999,1.11084906824516
-6.942,1.11330548260442
-6.940999999,1.11582506776795
-6.94,1.11878912195991
-6.939,1.12170490100727
-6.937999999,1.12437145384056
-6.937,1.12706464175557
-6.935999999,1.13012671021018
-6.934999999,1.13337235164297
-6.934,1.1364760810017
-6.932999999,1.13927933660222
-6.932,1.14220798807887
-6.931,1.14549489643323
-6.929999999,1.14882454658332
-6.929,1.15183927430138
-6.927999999,1.15467629521614
-6.926999999,1.15792513216041
-6.926,1.16137816339369
-6.924999999,1.16492686071017
-6.924,1.16798413354496
-6.923,1.17117390186186
-6.921999999,1.17480940617026
-6.921,1.17861939331626
-6.919999999,1.18220763627775
-6.918999999,1.18535390750558
-6.918,1.18877096332238
-6.916999999,1.19270245038103
-6.916,1.19663729176054
-6.915,1.20036523584769
-6.913999999,1.2039282307146
-6.913,1.20788392456136
-6.911999999,1.21194998753607
-6.910999999,1.21600332880051
-6.91,1.21986696168111
-6.908999999,1.22360636689368
-6.908,1.22795013310387
-6.907,1.23254718126997
-6.905999999,1.23702464072582
-6.905,1.24111989532102
-6.903999999,1.24553389173516
-6.902999999,1.25050076726274
-6.902,1.25518719433838
-6.900999999,1.25914644382376
-6.9,1.26362399756777
-6.899,1.26862103483638
-6.897999999,1.27343478843107
-6.897,1.2783736240502
-6.895999999,1.28315833711104
-6.894999999,1.2881172674965
-6.894,1.29388839341547
-6.892999999,1.29940824450151
-6.892,1.30432027581231
-6.891,1.30935126290369
-6.889999999,1.31473055215202
-6.889,1.32061731266799
-6.887999999,1.32629279763084
-6.886999999,1.33167696181968
-6.886,1.33742545841771
-6.884999999,1.34358168996813
-6.884,1.34985127411165
-6.883,1.3558252958258
-6.881999999,1.36159717371355
-6.881,1.3679448156378
-6.879999999,1.37456110071686
-6.878999999,1.3811777486651
-6.878,1.3874480215472
-6.876999999,1.39388568891065
-6.876,1.40078927451705
-6.875,1.40769316008016
-6.873999999,1.41478811678994
-6.873,1.42141273798855
-6.871999999,1.42821879748511
-6.871,1.43597789551611
-6.87,1.44334946047625
-6.868999999,1.45026853547987
-6.868,1.4572525095512
-6.867,1.46495753686418
-6.865999999,1.47338672939479
-6.865,1.48147841235632
-6.863999999,1.48929157862606
-6.862999999,1.49732098082311
-6.862,1.50602277892992
-6.860999999,1.51490739180094
-6.86,1.5231929611945
-6.859,1.53133145629775
-6.857999999,1.54004547341314
-6.857,1.54950656107984
-6.855999999,1.55877113273246
-6.855,1.56768350703133
-6.854,1.57683794186784
-6.852999999,1.5868099131124
-6.852,1.59705457023342
-6.851,1.60661255589173
-6.849999999,1.61592608151017
-6.849,1.62607186573455
-6.847999999,1.6370743209163
-6.847,1.64786070661306
-6.846,1.65847198140149
-6.844999999,1.66915211853472
-6.844,1.68062520193963
-6.843,1.69226033980972
-6.841999999,1.70418329485778
-6.841,1.71537988391617
-6.839999999,1.7269410227372
-6.839,1.73946605420835
-6.838,1.75212588127911
-6.836999999,1.76441765878617
-6.836,1.77651914845668
-6.835,1.78960732677773
-6.833999999,1.80327177385767
-6.833,1.8170946055513
-6.831999999,1.83010089970169
-6.831,1.84334776587115
-6.83,1.85805043367697
-6.828999999,1.87293112935521
-6.828,1.88726153719872
-6.827,1.90147037960345
-6.825999999,1.91637696277329
-6.825,1.93313538328796
-6.823999999,1.94943267364599
-6.823,1.96488853656416
-6.822,1.98086945943734
-6.820999999,1.99802734500505
-6.82,2.01547667698921
-6.819,2.03338979657604
-6.817999999,2.05055915570427
-6.817,2.0685155626906
-6.815999999,2.08713773013566
-6.815,2.10667087297942
-6.814,2.12567321098808
-6.812999999,2.14478525616741
-6.812,2.16541219337147
-6.810999999,2.18626275741622
-6.809999999,2.20774522763877
-6.809,2.22845573517254
-6.807999999,2.24975903234946
-6.807,2.27231367307418
-6.806,2.29591411002774
-6.804999999,2.31935027874287
-6.804,2.34213609765412
-6.802999999,2.36580959518296
-6.801999999,2.39175949281383
-6.801,2.41809138303664
-6.799999999,2.44262265854612
